id,english_expression,key_expression,korean_translation,category,source
239,I haven't seen you in forever. Let's catch up over lunch.,Let's catch up over lunch,너무 오랜만이다. 점심 먹으면서 밀린 얘기 하자.,Social,miracle
240,I heard this song on the radio and it totally brought me back.,me back,라디오에서 이 노래 들었는데 완전히 옛 기억이 떠올랐어.,Daily Life,miracle
241,Before you judge her put yourself in her place.,you judge her put yourself in her place,그녀를 판단하기 전에 그녀의 입장이 되어봐.,Daily Life,miracle
242,That watch is gorgeous. It must've cost you a fortune.,It must've cost you a fortune,그 시계 정말 멋지다. 엄청 비쌌겠다.,Daily Life,miracle
243,You can't hide it. It's written all over your face.,It's written all over your face,숨길 수가 없어. 얼굴에 다 써 있어.,Daily Life,miracle
244,We can't take a break. We're always short-handed.,We're always short-handed,쉴 수가 없어. 항상 인력이 부족하거든.,Daily Life,miracle
245,I can't turn my head. I think I pulled a muscle in my neck.,I pulled a muscle in my neck,고개를 못 돌리겠어. 목 근육을 삔 것 같아.,Daily Life,miracle
246,After five years of dating they finally walked down the aisle.,they finally walked down the aisle,5년 사귀고 드디어 결혼했어.,Daily Life,miracle
247,You've been so consistent this month. Keep up the good work!,Keep up the good work,이번 달 정말 꾸준히 잘했어. 계속 잘하고 있어!,Daily Life,miracle
248,The baby was crying all night. I didn't get a wink of sleep.,I didn't get a wink of sleep,아기가 밤새 울었어. 한숨도 못 잤어.,Daily Life,miracle
249,I've been here the longest and I was still passed over for a promotion.,was still passed over for a promotion,내가 제일 오래 있었는데도 승진에서 밀렸어.,Daily Life,miracle
250,You worked so hard this week. I'll treat you to dinner tonight.,I'll treat you to dinner tonight,이번 주 정말 고생했어. 오늘 저녁 내가 살게.,Social,miracle
251,I moved all those boxes and now my shoulder hurts like hell.,my shoulder hurts like hell,상자를 다 옮겼더니 어깨가 엄청 아파.,Daily Life,miracle
252,Whatever you decide I'm always behind you.,I'm always behind you,네가 어떤 결정을 하든 나는 항상 네 편이야.,Daily Life,miracle
253,You should be a teacher. You really have a way with kids.,You should be a teacher. You really have a way with kids,선생님 하면 좋겠다. 넌 애들을 정말 잘 다뤄.,Daily Life,miracle
254,It's tough living away from home but I'm biting the bullet.,I'm biting the bullet,타지 생활이 힘들지만 꾹 참고 하고 있어.,Daily Life,miracle
255,Don't say that. Are you trying to add fuel to the fire?,Are you trying to add fuel to the fire,그런 말 하지 마. 불에 기름을 붓는 거야?,Daily Life,miracle
256,The project is going to be delayed. We're already behind schedule.,We're already behind schedule,프로젝트가 늦어질 것 같아. 이미 일정이 밀리고 있어.,Daily Life,miracle
257,I can't get enough of this drama. I finished 3 episodes tonight.,can't get enough of,이 드라마가 아무리 봐도 질리지 않아. 오늘 밤에 3편 봤어.,Daily Life,miracle
258,The power was out all day. How did you get by without the internet?,How did you get by without,하루 종일 정전이었어. 인터넷 없이 어떻게 지냈어?,Daily Life,miracle
259,I rested all weekend and I'm feeling much better now.,I'm feeling much better,주말 내내 쉬었더니 이제 훨씬 나아진 것 같아.,Emotions & Opinions,miracle
260,I only had two glasses and I'm already tipsy. I really can't hold my liquor.,can't hold my liquor,두 잔밖에 안 마셨는데 벌써 취했어. 나 진짜 술이 약해.,Daily Life,miracle
261,Work-life balance is the most important thing. You can say that again!,You can say that again,일과 삶의 균형이 제일 중요하지. 완전 맞는 말이야!,Daily Life,miracle
262,You've been quiet all day. What's eating you?,What's eating you?,하루 종일 말이 없네. 무슨 일 있어?,Daily Life,miracle
263,This is your last audition. Don't hold anything back.,Don't hold anything back,이게 마지막 오디션이야. 뒤로 빼지 말고 다 해.,Daily Life,miracle
264,I want to come but I'll check if I can clear up my schedule.,I'll check if I can clear up my schedule,가고 싶은데 일정을 비울 수 있는지 확인해볼게.,Daily Life,miracle
265,I got the job but I have to move cities. I'm having mixed feelings.,I'm having mixed feelings,취업은 됐는데 이사를 해야 해. 기분이 복잡해.,Daily Life,miracle
266,You've put in so much effort this year. I hope you make it big next year.,I hope you make it big next year,올해 정말 열심히 했잖아. 내년에는 크게 성공하길 바라.,Daily Life,miracle
267,The city can swallow you up if you don't have a plan.,swallow you up,계획이 없으면 도시가 당신을 집어삼킬 수 있어.,Idioms & Patterns,ninenine
268,He was so nervous that he forgot his own name.,so nervous that,그는 너무 긴장해서 자기 이름도 잊어버렸어.,Emotions & Opinions,ninenine
269,She spent two hours trying to fix the error.,spent two hours trying,그녀는 그 오류를 고치는 데 두 시간을 보냈어.,Idioms & Patterns,ninenine
270,"It might seem risky, but it's actually a great opportunity.","might seem risky, but it's actually","위험해 보일 수 있지만, 사실은 좋은 기회야.",Idioms & Patterns,ninenine
271,"I said I was okay, but I was actually really hurt.",actually,"괜찮다고 했지만, 사실은 정말 마음이 많이 상했어.",Idioms & Patterns,ninenine
272,He walked into the cafe and immediately felt at home.,walked into,그가 카페에 걸어 들어오자마자 편안한 느낌이 들었어.,Idioms & Patterns,ninenine
273,"On hearing the news, she burst into tears.",On hearing,소식을 듣자마자 그녀는 눈물을 터뜨렸어.,Idioms & Patterns,ninenine
274,"I walked in to find everyone whispering. I asked, What's going on?",What's going on?,들어가 보니 모두 속삭이고 있었어. 무슨 일이야?라고 물었어.,Idioms & Patterns,ninenine
275,"After extra time, the final ended in a tie.",ended in a tie,연장전 끝에 결승전이 무승부로 끝났어.,Idioms & Patterns,ninenine
276,Reading out loud every day can really improve your pronunciation.,improve,매일 소리 내어 읽으면 발음을 정말 향상시킬 수 있어.,Idioms & Patterns,ninenine
277,He trained every morning for a year and finally made the team.,made the team,그는 1년 동안 매일 아침 훈련해서 마침내 팀에 선발됐어.,Daily Life,ninenine
278,"I ran into some old classmates, one of whom is now a doctor.",one of whom,"옛날 반 친구들을 우연히 만났는데, 그중 한 명은 지금 의사야.",Idioms & Patterns,ninenine
279,It could be that he's just too busy to reply.,It could be that,그가 너무 바빠서 답장을 못 하는 것일 수도 있어.,Daily Life,ninenine
280,"More than anything else, she just wanted to feel understood.",More than anything else,"무엇보다도, 그녀는 그냥 이해받고 싶었어.",Idioms & Patterns,ninenine
281,"I've known this neighborhood for years, but it still surprises me.",known this neighborhood for years,이 동네를 수년간 알고 지냈는데도 아직도 놀라울 때가 있어.,Idioms & Patterns,ninenine
282,"Before the interview, I took a few minutes to gather my thoughts.",gather my thoughts,면접 전에 잠깐 시간을 내서 생각을 정리했어.,Idioms & Patterns,ninenine
283,We got lucky and found the last two seats on the train.,got lucky,운이 좋아서 기차에서 마지막 두 자리를 찾았어.,Daily Life,ninenine
284,She got to the station just as the train was leaving.,got to,기차가 막 출발하는 순간에 역에 도착했어.,Daily Life,ninenine
285,"I figured it would rain, so I brought an umbrella.",figure,비가 올 것 같아서 우산을 챙겨왔어.,Daily Life,ninenine
286,He got busted for sneaking snacks into the cinema.,got busted for,그는 영화관에 몰래 간식을 들고 들어갔다가 걸렸어.,Daily Life,ninenine
287,I'm waiting for the day I can finally work from anywhere.,waiting for the day,마침내 어디서든 일할 수 있는 날을 기다리고 있어.,Idioms & Patterns,ninenine
288,"I've been eating the same lunch for so long, I barely taste it anymore.",been eating the same lunch for so long,같은 점심을 너무 오래 먹어와서 이제 맛도 잘 못 느껴.,Social,ninenine
289,The pain in my shoulder got worse after the move.,pain in,이사하고 나서 어깨 통증이 더 심해졌어.,Idioms & Patterns,ninenine
290,He mentioned that the deadline had been moved up.,mention,그는 마감일이 앞당겨졌다고 언급했어.,Meetings,ninenine
291,Sometimes you have to walk away from a situation that drains you.,walk away from,때로는 당신을 지치게 만드는 상황에서 벗어나야 해.,Idioms & Patterns,ninenine
292,It took the team a week to crack the bug.,crack,팀이 그 버그를 해결하는 데 일주일이 걸렸어.,Idioms & Patterns,ninenine
293,Would you do the honors and cut the ribbon at the opening?,do the honors,개막식에서 리본을 잘라주시겠어요?,Idioms & Patterns,ninenine
294,"I was failing every test, but now I'm getting top marks.","was failing every test, but now I'm getting","매번 시험에서 떨어지고 있었는데, 지금은 최고 점수를 받고 있어.",Idioms & Patterns,ninenine
295,Enjoy the good weather while it lasts.,while it lasts,좋은 날씨가 이어지는 동안 즐겨.,Daily Life,ninenine
296,Can you give me an update on how the negotiations are going?,give me an update on,협상이 어떻게 진행되고 있는지 업데이트해줄 수 있어?,Idioms & Patterns,ninenine
297,He's a huge fan of jazz and goes to concerts every month.,is a huge fan of,그는 재즈의 열렬한 팬이라 매달 콘서트에 가.,Idioms & Patterns,ninenine
298,"We already discussed this earlier this week, remember?",earlier this week,"이번 주 초에 이미 이 얘기 했잖아, 기억해?",Idioms & Patterns,ninenine
299,She decided to take a year off and travel the world.,decided to,그녀는 1년 휴직하고 세계 여행을 하기로 결정했어.,Idioms & Patterns,ninenine
300,The missing wallet was found under the seat on the bus.,was found,잃어버린 지갑이 버스 좌석 밑에서 발견됐어.,Daily Life,ninenine
301,"From the clues, I deduced that he had left before midnight.",deduced that,단서들을 통해 그가 자정 전에 떠났다고 추론했어.,Idioms & Patterns,ninenine
302,Let's catch up over dinner this weekend.,catch up over,이번 주말에 저녁 먹으면서 근황 얘기하자.,Social,ninenine
303,There's some gunk clogging the drain again.,gunk,또 배수구에 뭔가 끈적한 게 막혀 있어.,Idioms & Patterns,ninenine
304,You know how hard it is to stay focused when working from home.,You know how hard it is to,재택근무할 때 집중력 유지하는 게 얼마나 힘든지 알잖아.,Idioms & Patterns,ninenine
305,She always plays oldies when she cooks — mostly songs from the 70s.,oldies,그녀는 요리할 때 항상 옛날 노래를 틀어 — 주로 70년대 노래들이야.,Idioms & Patterns,ninenine
306,The band rehearsed for weeks before their big concert.,rehearse,밴드는 큰 콘서트 전에 몇 주 동안 리허설을 했어.,Idioms & Patterns,ninenine
307,It's getting late. We should head back before it gets dark.,head back,늦어지고 있어. 어두워지기 전에 돌아가야 해.,Idioms & Patterns,ninenine
308,Getting enough sleep should be priority one when you're sick.,priority one,아플 때는 충분한 수면이 최우선 과제야.,Idioms & Patterns,ninenine
309,Don't rush into it. Think it through first.,Think it through,서두르지 마. 먼저 끝까지 생각해봐.,Idioms & Patterns,ninenine
310,I'm taking a short break. Wanna grab a coffee with me?,grab a coffee,잠깐 쉬려고 하는데. 나랑 커피 한잔 할래?,Social,ninenine
311,I asked my neighbor to water my plants while I was away.,asked my neighbor to,여행 중에 이웃에게 화분에 물을 줘달라고 부탁했어.,Idioms & Patterns,ninenine
312,"He laughed, but I think he completely missed the point of the joke.",missed the point,"그가 웃었지만, 농담의 요점을 완전히 놓친 것 같아.",Idioms & Patterns,ninenine
313,I have a few points to make before we close this meeting.,have a few points to make,회의를 마치기 전에 몇 가지 하고 싶은 말이 있어.,Meetings,ninenine
314,I don't really have a type. I just go with the connection.,have a type,딱히 이상형은 없어. 그냥 마음이 가는 대로야.,Idioms & Patterns,ninenine
315,"We found a cozy cabin in the mountains, which is perfect for a digital detox.",which is perfect for,"산속에 아늑한 오두막을 찾았는데, 디지털 디톡스에 딱이야.",Idioms & Patterns,ninenine
316,I'll go anywhere but there. Too many bad memories.,but,거기만 빼고 어디든 갈게. 나쁜 기억이 너무 많아.,Idioms & Patterns,ninenine
317,The presentation was pretty good for a first draft.,pretty,첫 번째 초안치고는 발표가 꽤 좋았어.,Meetings,ninenine
318,Quitting your stable job to start a business is a big swing.,a big swing,안정적인 직장을 그만두고 사업을 시작하는 건 큰 모험이야.,Daily Life,ninenine
319,She's really into hiking lately. She goes every weekend.,is really into hiking,그녀는 요즘 하이킹에 완전 빠져 있어. 매주 주말에 가거든.,Idioms & Patterns,ninenine
320,It's important to set clear boundaries at work.,It's important to,직장에서 명확한 경계를 설정하는 게 중요해.,Idioms & Patterns,ninenine
321,I went on the Internet to look up the symptoms and scared myself.,went on the Internet,증상을 검색하러 인터넷을 했다가 겁먹었어.,Emotions & Opinions,ninenine
322,We spent an hour searching for a restaurant that everyone liked.,searching for,모두가 좋아하는 식당을 찾느라 한 시간을 보냈어.,Social,ninenine
323,Did you hear anything about the new policy change?,hear anything about,새 정책 변경에 대해 들은 거 있어?,Idioms & Patterns,ninenine
324,I wish I were in Bali right now instead of sitting in this meeting.,I wish I were,이 회의에 앉아 있는 대신 지금 발리에 있으면 좋겠어.,Meetings,ninenine
325,The once-famous singer is now considered washed-up after years of bad press.,washed-up,한때 유명했던 가수가 몇 년간의 나쁜 평판 끝에 이제는 한물간 것으로 여겨져.,Idioms & Patterns,ninenine
326,Don't bother asking him — he's just a pencil pusher with no real authority.,pencil pusher,그에게 물어봤자 소용없어. 결정권이 없는 서류 처리자일 뿐이야.,Idioms & Patterns,ninenine
327,She's always been concerned with how others perceive her.,is always been concerned with,그녀는 항상 남들이 자신을 어떻게 보는지에 신경을 써.,Idioms & Patterns,ninenine
328,I didn't mean it as a complaint. I didn't expect you to interpret it that way.,interpret it that way,불평으로 한 말이 아니었어. 그런 식으로 해석할 줄 몰랐어.,Idioms & Patterns,ninenine
329,Holiday alert: The library will be closed on Monday for the public holiday.,Holiday alert: The library will be closed,휴일 알림: 공휴일로 인해 월요일에 도서관이 문을 닫습니다.,Idioms & Patterns,ninenine
330,You must be joking — they're charging $20 for a cup of coffee?,You must be joking,농담이겠지 — 커피 한 잔에 20달러를 받는다고?,Social,ninenine
331,"Sorry, I can't talk right now. I'm in the middle of cooking dinner.",in the middle of,"미안, 지금 얘기하기 어려워. 저녁 요리하는 중이거든.",Social,ninenine
332,How would you describe your management style in three words?,describe,당신의 관리 스타일을 세 단어로 설명하자면 어떻게 하겠어요?,Idioms & Patterns,ninenine
333,It's kind of awkward seeing your ex at the same gym.,kind of,같은 헬스장에서 전 연인을 보는 건 좀 어색해.,Daily Life,ninenine
334,Please inform me about any updates as soon as you hear them.,inform me about,소식이 오는 대로 바로 알려줘.,Idioms & Patterns,ninenine
335,It's not necessary for everyone to attend. Just send a representative.,It's not necessary for everyone to,모두가 참석할 필요는 없어. 대표자만 보내.,Idioms & Patterns,ninenine
336,Let me quickly recap what we covered in the first half.,recap,전반부에 다룬 내용을 빠르게 정리해볼게요.,Meetings,ninenine
337,Let's see... I think the nearest pharmacy is two blocks away.,Let's see,어디보자... 가장 가까운 약국이 두 블록 거리인 것 같아.,Daily Life,ninenine
338,The instructions say to let it cool for 10 minutes before serving.,says to,설명서에 서빙 전에 10분간 식히라고 나와 있어.,Idioms & Patterns,ninenine
339,His tone implied he wasn't happy with the decision.,imply,그의 말투는 그 결정에 만족하지 않는다는 걸 암시했어.,Idioms & Patterns,ninenine
340,She's so rule-following that she won't bend the rules even for her own team.,rule-following,그녀는 너무 원칙주의라 자기 팀을 위해서도 규칙을 굽히지 않아.,Idioms & Patterns,ninenine
341,Could you speak up a little? It's hard to hear you at the back.,speak up,좀 더 크게 말해줄 수 있어? 뒤에서는 잘 안 들려.,Idioms & Patterns,ninenine
342,"The next time you visit, let's try that new restaurant downtown.",The next time,다음번에 올 때 시내에 새로 생긴 식당에 가보자.,Social,ninenine
343,I can't decide which course to take — both sound really interesting.,can't decide which course to,어떤 강의를 들을지 결정 못 하겠어 — 둘 다 정말 흥미로워.,Idioms & Patterns,ninenine
344,I wonder if she got home safe. She hasn't texted yet.,I wonder if,그녀가 무사히 집에 갔는지 모르겠어. 아직 문자가 없어.,Idioms & Patterns,ninenine
345,"I didn't want to cancel, but I had no other choice.",had no other choice,"취소하고 싶지 않았지만, 다른 선택지가 없었어.",Idioms & Patterns,ninenine
346,"The design looks great. More importantly, does it actually work?",More importantly,"디자인은 멋있어. 더 중요한 건, 실제로 작동하나?",Idioms & Patterns,ninenine
347,Don't worry about the presentation. I'll take care of it.,take care of,발표 걱정 마. 내가 처리할게.,Meetings,ninenine
348,Silence! The judge is about to speak.,Silence!,조용히! 판사가 말씀하시려 해.,Idioms & Patterns,ninenine
349,He showed up at my door with flowers just to cheer me up.,cheer me up,그는 나를 기분 좋게 해주려고 꽃을 들고 내 문 앞에 나타났어.,Idioms & Patterns,ninenine
350,Can I have a word with you after the meeting? It won't take long.,have a word with,회의 끝나고 잠깐 얘기할 수 있어? 오래 안 걸려.,Meetings,ninenine
351,Same. I don't enjoy networking events at all.,Same,나도 마찬가지야. 네트워킹 행사가 전혀 즐겁지 않아.,Idioms & Patterns,ninenine
352,The minimalist design appeals to people who prefer clean spaces.,appeals to,미니멀한 디자인은 깔끔한 공간을 선호하는 사람들에게 어필해.,Idioms & Patterns,ninenine
353,This café has such a laid-back vibe. I could stay here all day.,has such a laid-back vibe,이 카페는 정말 여유로운 분위기야. 하루 종일 있을 수 있을 것 같아.,Idioms & Patterns,ninenine
354,We waited in line for two hours to get into the exhibition.,waited in line,전시회에 들어가려고 두 시간 동안 줄 서서 기다렸어.,Idioms & Patterns,ninenine
355,Her confidence has improved significantly since she joined the debate club.,improved significantly,토론 동아리에 가입한 이후로 그녀의 자신감이 크게 향상됐어.,Idioms & Patterns,ninenine
356,This new battery technology could be a real game-changer for electric vehicles.,game-changer,이 새로운 배터리 기술은 전기차 분야의 진정한 판도를 바꿀 수 있어.,Idioms & Patterns,ninenine
357,"I never liked mornings, but somehow I've become a morning person.",never liked,"아침을 좋아한 적이 한 번도 없었는데, 어쩌다 보니 아침형 인간이 됐어.",Idioms & Patterns,ninenine
358,"To be fair, she did warn us this might happen.",To be fair,"공정하게 말하자면, 그녀는 이런 일이 생길 수 있다고 경고했어.",Idioms & Patterns,ninenine
359,The factory laid off 200 workers due to budget cuts.,off,예산 삭감으로 공장에서 직원 200명을 해고했어.,Idioms & Patterns,ninenine
360,He's been on parental leave since January and comes back next month.,on parental leave,그는 1월부터 육아휴직 중이고 다음 달에 복귀해.,Idioms & Patterns,ninenine
361,It's never too late to change your career path if you're unhappy.,change your career path,불행하다면 커리어 방향을 바꾸기에 결코 늦지 않아.,Idioms & Patterns,ninenine
362,"I get scared of speaking in public, even in small groups.",get scared of speaking,소규모 그룹에서도 사람들 앞에서 말하는 게 겁이 나.,Emotions & Opinions,ninenine
363,She didn't want to date again because she was afraid of getting hurt.,getting hurt,그녀는 상처받을까 봐 다시는 연애하고 싶지 않았어.,Idioms & Patterns,ninenine
364,"After years away from the industry, she felt she had lost her edge.",lost her edge,업계를 몇 년 떠나 있다가 경쟁력을 잃은 것 같다고 느꼈어.,Idioms & Patterns,ninenine
365,We had a small incident with the delivery — the package got wet in the rain.,had a small incident with,배송 중에 작은 해프닝이 있었어 — 비에 젖었거든.,Idioms & Patterns,ninenine
366,She's been really jumpy ever since the break-in at her neighbor's place.,jumpy,이웃집 도둑 사건 이후로 그녀는 정말 예민해졌어.,Idioms & Patterns,ninenine
367,"Ever since she moved abroad, she's been a lot happier.",Ever since,해외로 이사한 이후로 그녀는 훨씬 더 행복해졌어.,Idioms & Patterns,ninenine
368,Tell me about your biggest achievement in the last year.,Tell me about,지난 한 해 동안 가장 큰 성취에 대해 말해봐.,Idioms & Patterns,ninenine
369,"The drive was long, but the view from the top was worth seeing.",worth seeing,"드라이브가 길었지만, 정상에서의 경치는 볼 만한 가치가 있었어.",Idioms & Patterns,ninenine
370,"Of all the options we have, this one makes the most sense.",Of all,우리가 가진 모든 선택지 중에서 이게 가장 말이 돼.,Idioms & Patterns,ninenine
371,He's hard to read — I never know if he's happy or just being polite.,hard to read,그는 속을 알기 어려워 — 진심인지 그냥 예의상 그러는 건지 모르겠어.,Idioms & Patterns,ninenine
372,We ran out of printer paper right before the deadline.,ran out of,마감 직전에 프린터 용지가 다 떨어졌어.,Meetings,ninenine
373,All documents need to be submitted by the end of the day.,All documents need to be,모든 서류는 오늘 하루가 끝나기 전에 제출해야 해.,Idioms & Patterns,ninenine
374,I'll grab some milk on my way back from the gym.,on my way back,헬스장에서 돌아오는 길에 우유 사올게.,Daily Life,ninenine
375,She's a real grinder — she never takes shortcuts and always gives 100%.,grinder,그녀는 진정한 노력파야 — 절대 지름길을 택하지 않고 항상 100%를 다해.,Idioms & Patterns,ninenine
376,"I'm not mad, but just a little disappointed.","not mad, but just",화난 게 아니라 그냥 조금 실망한 거야.,Emotions & Opinions,ninenine
377,"He works harder than anyone else on the team, but rarely gets recognized.",harder than anyone else,"팀에서 누구보다 열심히 일하는데, 좀처럼 인정을 못 받아.",Idioms & Patterns,ninenine
378,She proved herself to be the most dedicated member of the group.,proved herself to be,그녀는 그룹에서 가장 헌신적인 멤버임을 증명했어.,Idioms & Patterns,ninenine
379,"He's had a tough month, but he's handling it really well.",had a tough,"힘든 한 달을 보냈지만, 정말 잘 버티고 있어.",Idioms & Patterns,ninenine
380,Don't make any commitments without checking with me first.,without checking with me first,먼저 나한테 확인하지 않고 어떤 약속도 하지 마.,Idioms & Patterns,ninenine
381,I prefer cooking at home over eating out these days.,prefer cooking at home over eating,요즘은 외식보다 집에서 요리하는 걸 더 좋아해.,Idioms & Patterns,ninenine
382,Prices have gone way up since last year. Everything is more expensive.,gone way up,작년보다 물가가 훨씬 올랐어. 모든 게 더 비싸졌어.,Idioms & Patterns,ninenine
383,She's passionate about environmental issues and volunteers every weekend.,is passionate about,그녀는 환경 문제에 열정적이어서 매주 주말에 자원봉사를 해.,Idioms & Patterns,ninenine
384,Can you put away your phone during dinner? Please.,put away,저녁 식사 중에는 폰 좀 내려놔줄 수 있어? 제발.,Social,ninenine
385,The only person who can fix this is you.,only person who can fix this is,이걸 고칠 수 있는 유일한 사람은 바로 너야.,Idioms & Patterns,ninenine
386,That was very well put. You explained it better than I could have.,well put,정말 잘 표현했어. 나보다 더 잘 설명했어.,Idioms & Patterns,ninenine
387,Let's take some time to examine what went wrong last quarter.,examine,지난 분기에 무엇이 잘못됐는지 살펴볼 시간을 갖자.,Idioms & Patterns,ninenine
388,Safety training is mandated for all new employees before they start.,is mandated,모든 신입 직원은 시작 전에 안전 교육이 의무화되어 있어.,Daily Life,ninenine
389,Can you explain how this system works to the new team members?,explain how,신규 팀원들에게 이 시스템이 어떻게 작동하는지 설명해줄 수 있어?,Idioms & Patterns,ninenine
390,Bringing it up again now will only make things worse.,only make things worse,지금 다시 꺼내봤자 상황을 더 악화시킬 뿐이야.,Idioms & Patterns,ninenine
391,"Absolutely, that's exactly what I was thinking.",Absolutely,"완전히 동의해, 그게 딱 내가 생각하던 거야.",Idioms & Patterns,ninenine
392,Please don't take anything from the storage room without permission.,take anything from,허락 없이 창고에서 아무것도 가져가지 마세요.,Idioms & Patterns,ninenine
393,Good catch on the typo in the report. I almost missed it.,Good catch,보고서 오타 잘 잡아냈어. 나는 거의 놓칠 뻔했어.,Meetings,ninenine
394,Be sure to save your work before closing the laptop.,Be sure to,노트북을 닫기 전에 꼭 작업 내용을 저장해.,Idioms & Patterns,ninenine
395,I won't say anything unless you ask me to.,unless,네가 부탁하지 않는 한 아무 말도 하지 않을게.,Idioms & Patterns,ninenine
396,Can you lay off texting me during work hours?,lay off texting,근무 시간에 문자 보내는 것 좀 그만해줄 수 있어?,Idioms & Patterns,ninenine
397,It's unfair that he gets all the credit when we all worked equally hard.,It's unfair that,우리 모두 똑같이 열심히 일했는데 그만 공을 인정받는 건 불공평해.,Idioms & Patterns,ninenine
398,Filling out all this paperwork is a real pain in the ass.,pain in the ass,이 서류를 전부 작성하는 건 정말 짜증나는 일이야.,Idioms & Patterns,ninenine
399,The timeline is a little too tight. Can we push the deadline by a week?,a little too tight,일정이 조금 너무 빠듯해. 마감을 일주일 늦출 수 있어?,Meetings,ninenine
400,Are you serious about moving to a different city? That's a big decision.,Are you serious about,다른 도시로 이사하는 거 진심이야? 큰 결정인데.,Idioms & Patterns,ninenine
401,She seems really confident about the pitch. I think it'll go well.,seems really confident about,그녀는 그 피치에 대해 정말 자신감 있어 보여. 잘 될 것 같아.,Idioms & Patterns,ninenine
402,The northern lights look like something out of a movie. I can't believe it's real.,look like something out of a movie,오로라가 영화에서 나온 것 같아. 이게 현실이라는 게 믿기지 않아.,Idioms & Patterns,ninenine
403,The painting found in the attic turned out to be valued at over a million dollars.,be valued at,다락방에서 발견된 그 그림이 백만 달러 이상으로 평가됐어.,Idioms & Patterns,ninenine
404,You did an amazing job on the presentation. The client was impressed.,did an amazing job on,발표 정말 잘했어. 클라이언트가 감동받았어.,Meetings,ninenine
405,We gorged ourselves on pizza and wings at the game night.,gorged ourselves on,게임 나이트에서 피자와 닭 날개를 배가 터지도록 먹었어.,Idioms & Patterns,ninenine
406,"To avoid missing the flight, I always arrive at the airport two hours early.",To avoid missing,비행기를 놓치지 않으려고 항상 두 시간 일찍 공항에 도착해.,Daily Life,ninenine
407,The way bees communicate through dance is absolutely fascinating.,fascinating,벌들이 춤으로 소통하는 방식은 정말 매혹적이야.,Idioms & Patterns,ninenine
408,You better call your mom. She's been trying to reach you all day.,You better,엄마한테 전화하는 게 좋을 거야. 하루 종일 연락하려고 했거든.,Idioms & Patterns,ninenine
409,I'll let you know as soon as I hear back from them.,let you know,그쪽에서 답이 오는 대로 바로 알려줄게.,Idioms & Patterns,ninenine
410,"Speaking of traveling, have you been anywhere interesting lately?",Speaking of,"여행 얘기가 나온 김에, 요즘 어디 재미있는 곳에 가봤어?",Idioms & Patterns,ninenine
411,Are you up to grabbing a bite after work?,Are you up to grabbing,퇴근 후에 뭔가 먹을 생각 있어?,Idioms & Patterns,ninenine
412,I'll head out around 7. That okay by you?,That okay by you?,7시쯤 출발할게. 괜찮아?,Idioms & Patterns,ninenine
413,It looks like it's going to be a long night. Grab some coffee.,It looks like it's going to,긴 밤이 될 것 같아. 커피 챙겨.,Social,ninenine
414,I'll see if anyone is free to cover for you tomorrow.,see if,내일 대신해줄 수 있는 사람이 있는지 알아볼게.,Idioms & Patterns,ninenine
415,"I'm on coffee duty today, so I'll get everyone's orders.",on coffee duty,오늘 내가 커피 담당이라 다들 주문 받을게.,Social,ninenine
416,Don't bother explaining it to him. It's a complete waste of breath.,waste of breath,그한테 설명하려고 하지 마. 완전히 입 아픈 짓이야.,Idioms & Patterns,ninenine
417,I'll check in with you tomorrow morning to see how things are going.,check in with,내일 아침에 어떻게 되어가는지 확인할게.,Idioms & Patterns,ninenine
418,She couldn't come up with a good excuse.,come up with,그녀는 그럴싸한 변명을 생각해내지 못했어.,Work & Office,guseul
419,I need to put together a budget report by tomorrow.,put together,내일까지 예산 보고서를 만들어야 해.,Meetings,guseul
420,I'll keep you posted as things develop.,keep you posted,상황이 진전되는 대로 계속 알려줄게.,Work & Office,guseul
421,Can we move up the call to 2 PM instead?,move,통화를 오후 2시로 앞당길 수 있을까요?,Work & Office,guseul
422,"Okay, let's move on to the next topic.",move on,"좋아, 다음 주제로 넘어가자.",Work & Office,guseul
423,Let's pick this up first thing tomorrow.,pick this up,내일 첫 번째로 이어서 하자.,Work & Office,guseul
424,I'll go pick up dinner on the way home.,pick up,집에 가는 길에 저녁 사올게.,Social,guseul
425,She picked up on my nervousness right away.,picked up on,그녀는 바로 내가 긴장했다는 걸 눈치챘어.,Emotions & Opinions,guseul
426,Let me know if anything changes.,Let me know,뭔가 바뀌면 알려줘.,Work & Office,guseul
427,I'll have this done by noon at the latest.,at the latest,늦어도 정오까지는 끝내놓을게.,Work & Office,guseul
428,We need to figure out how to cut costs.,figure out,비용을 줄일 방법을 생각해봐야 해.,Work & Office,guseul
429,Just give me a ballpark figure for the renovation.,ballpark figure,인테리어 비용이 대략 어느 정도인지 알려줘.,Work & Office,guseul
430,I'm stuck at the office. There's so much to do.,stuck at the office,사무실에서 꼼짝 못하고 있어. 할 일이 너무 많아.,Work & Office,guseul
431,Before I leave I want to say how proud I am of this team.,I want to say,떠나기 전에 이 팀이 얼마나 자랑스러운지 말하고 싶어.,Work & Office,guseul
432,Get some rest this weekend. I mean it.,I mean it,이번 주말에 좀 쉬어. 진심이야.,Work & Office,guseul
433,Let's grab a quick coffee before the meeting.,grab,회의 전에 빠르게 커피 한잔 하자.,Meetings,guseul
434,I always enjoy your company at these events.,company,이런 행사에서 함께하면 항상 좋아.,Work & Office,guseul
